Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
latin_term_fu,demographics_fu,,checkbox,"<div class=""rich-text-field-label""><p>Which of the following terms do you use to describe your ethnicity (check all that apply)</p></div>","1, Latino | 2, Latine | 3, Latinx | 4, Latina | 5, Hispanic | 6, Another term {latin_term_oth_fu} | -999, Decline to answer",,,,,,,y,,,,,
latin_term_oth_fu,demographics_fu,,text,"<div class=""rich-text-field-label""><p>Other latin term, specified</p></div>",,,,,,,[latin_term_fu(6)],y,,,,, @PLACEHOLDER = 'please specify'
money_stress_fu,demographics_fu,,radio,"<div class=""rich-text-field-label""><p>How often in the past 12 months would you say you were worried or stressed about having enough money to pay your rent/mortgage?</p></div>","1, Always | 2, Usually | 3, Sometimes | 4, Rarely | 5, Never | -999, Decline to answer",,,,,,,y,,,,,
relationship_fu,demographics_fu,,radio,"<div class=""rich-text-field-label""><p>What is your current relationship status?</p></div>","1, Single | 2, Dating casually | 3, Serious monogamous partnership | 4, Serious non-monogamous partnership | 5, Polyamorous relationship | 6, Married, monogamous (exclusive) | 7, Married, non-monogamous | -999, Decline to answer",,,,,,,y,,,,,
preptaken,prep_cascade,,radio,"<div class=""rich-text-field-label""><p>Have you ever taken PrEP?</p></div>","4, Yes, I am currently taking PrEP | 3, Yes, but I stopped temporarily | 2, Yes, but I stopped permanently | 1, No, I have never taken PrEP | -999, Decline to answer",,,,,,,y,,,,,
prepmod,prep_cascade,,radio,"<div class=""rich-text-field-label""><p>How do you take PrEP? (if you have taken PrEP in multiple ways, choose your most recent type of PrEP prescription)</p></div>","1, Daily oral PrEP (Truvada or Descovy taken as a daily pill) | 2, On demand PrEP (2-1-1 dosing) | 3, Long active injectable PrEP (Apretude, taken as a shot) | -999, Decline to answer",,,,,,[preptaken] = 4,y,,,,,
prepdailyadh,prep_cascade,,text,"<div class=""rich-text-field-label""><p>In the last month (30 days), for how many days did you miss a dose of PrEP? If you are not sure, please take your best guess. Type in -999 if you do not want to answer.</p></div>",,Type -999 to decline to answer,integer,,30,,[prepmod] = 1,y,,,,,
prep211adh,prep_cascade,,radio,"<div class=""rich-text-field-label""><p>In the last month, have you followed the 2-1-1 dosing <span style=""text-decoration: underline;"">every time that you had sex</span>?</p></div>","1, Yes | 2, No | 3, Unsure | -999, Decline to answer",,,,,,[prepmod] = 2,y,,,,,
prepinjadh,prep_cascade,,radio,"<div class=""rich-text-field-label""><p>Have you received a PrEP injection within the past two months?</p></div>","1, Yes | 2, No | 3, Unsure | -999, Decline to answer",,,,,,[prepmod] = 3,y,,,,,
prepgenadh,prep_cascade,,radio,"<div class=""rich-text-field-label""><p>In the last 30 days, how good a job did you do at taking your PrEP medication in the way you were supposed to?</p></div>","1, Very poor | 2, Poor | 3, Fair | 4, Good | 5, Very good | 6, Excellent | -999, Decline to answer",,,,,,[preptaken] = 4,y,,,,,
prepdis,prep_cascade,,checkbox,"<div class=""rich-text-field-label""><p>What was the reason you decided to stop taking PrEP? (Choose all that apply)</p></div>","1, I am having side effects to the medication | 2, I am tired of taking the pills | 3, I have trouble remembering to take the pill | 4, I heard that PrEP medication is dangerous | 5, It doesn't matter to me if I get HIV | 6, I'm worried about drug resistance (e.g. that if I got HIV, it might become immune to the medication) | 7, I'm worried people will think I'm HIV positive | 8, I'm worried someone will find out that I have sex with men and/or trans people | 9, I'm feeling sick due to another illness | 10, Someone told me to stop taking them | 11, I don't think I'm at risk for HIV | 12, I heard about on demand PrEP (2-1-1) and I prefer to do that | 13, Other {prepdis_oth} | -999, Decline to answer",,,,,,[preptaken] = 3 OR [preptaken] = 2,y,,,,, @NONEOFTHEABOVE = '-999'
prepdis_oth,prep_cascade,,text,"<div class=""rich-text-field-label""><p>You chose ""Other"" for reason to stop taking PrEP. Please describe: </p></div>",,,,,,,[prepdis(13)],y,,,,, @PLACEHOLDER='Please specify'
prepdiscuss,prep_cascade,,radio,"<div class=""rich-text-field-label""><p>Have you spoken to a medical provider about starting PrEP?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[preptaken] = '-999' OR [preptaken] = 1 OR [preptaken] = 2 OR [preptaken] = 3,y,,,,,
preprx,prep_cascade,,radio,"<div class=""rich-text-field-label""><p>Do you currently have a PrEP prescription (e.g., Truvada, Descovy, Apretude)?</p></div>","1, Yes | 0, No | -999, Decline to answer",,,,,,[preptaken] = '-999' OR [preptaken] = 1 OR [preptaken] = 2 OR [preptaken] = 3,y,,,,,
prepwill,prep_cascade,,radio,"<div class=""rich-text-field-label""><p>Suppose that PrEP is at least 90% effective in preventing HIV when taken correctly. How likely would you be to take PrEP if it were available for free?</p></div>","5, I would definitely take it | 4, I would probably take it | 3, I might take it | 2, I would probably not take it | 1, I would definitely not take it | -999, Decline to answer",,,,,,[preptaken] = '-999' OR [preptaken] = 1 OR [preptaken] = 2 OR [preptaken] = 3,y,,,,,
prepcand,prep_cascade,,radio,"<div class=""rich-text-field-label""><p>Do you believe that you are currently an appropriate candidate for PrEP?</p></div>","5, Yes, I am definitely an appropriate candidate | 4, Yes, I am probably an appropriate candidate | 3, I might be an appropriate candidate | 2, No, I am probably not an appropriate candidate | 1, No, I am definitely not an appropriate candidate | -999, Decline to answer",,,,,,[preptaken] = '-999' OR [preptaken] = 1 OR [preptaken] = 2 OR [preptaken] = 3,y,,,,,
prepint,prep_cascade,,radio,"<div class=""rich-text-field-label""><p>PrEP is currently available with a prescription from a doctor and research has shown that a majority of insurance companies cover most or all of the costs of PrEP. Do you plan to begin PrEP?</p></div>","5, Yes, I will definitely begin taking PrEP | 4, I will probably begin taking PrEP | 3, I might begin taking PrEP | 2, I probably will not begin taking PrEP | 1, No, I will definitely not begin taking PrEP | -999, Decline to answer",,,,,,[preptaken] = '-999' OR [preptaken] = 1 OR [preptaken] = 2 OR [preptaken] = 3,y,,,,,
prepprov,prep_cascade,,radio,"<div class=""rich-text-field-label""><p>Suppose you were interested in getting a new prescription for PrEP. Do you have or know of a medical provider who you think would be willing to prescribe it for you?</p></div>","1, Yes | 2, No | 3, Unsure | -999, Decline to answer",,,,,,[preptaken] = '-999' OR [preptaken] = 1 OR [preptaken] = 2 OR [preptaken] = 3,y,,,,,
prepbar_intro,prep_barriers_scale,,descriptive,"<div class=""rich-text-field-label""><h6>For each factor listed below, please answer if it ""Didn't get in the way of using PrEP at all,"" ""got in the way a little bit,"" ""somewhat got in the way,"" ""very much got in the way,"" or ""completely got in the way"" of using PrEP.</h6></div>",,,,,,,,,,,,,
prep_bar_need_1,prep_barriers_scale,,radio,Having too many other stressors to deal with,"5, Completely got in the way of using PrEP | 4, Very much got in the way of using PrEP | 3, Somewhat got in the way of using PrEP | 2, Got in the way of using PrEP a little bit | 1, Didn't get in the way of using PrEP | -999, Decline to answer",,,,,,,y,,,prepbar_matrix,,
prep_bar_need_2,prep_barriers_scale,,radio,Feeling that PrEP should only be used as a last resort,"5, Completely got in the way of using PrEP | 4, Very much got in the way of using PrEP | 3, Somewhat got in the way of using PrEP | 2, Got in the way of using PrEP a little bit | 1, Didn't get in the way of using PrEP | -999, Decline to answer",,,,,,,y,,,prepbar_matrix,,
prep_bar_need_3,prep_barriers_scale,,radio,Feeling like it's better to leave things up to fate,"5, Completely got in the way of using PrEP | 4, Very much got in the way of using PrEP | 3, Somewhat got in the way of using PrEP | 2, Got in the way of using PrEP a little bit | 1, Didn't get in the way of using PrEP | -999, Decline to answer",,,,,,,y,,,prepbar_matrix,,
prep_bar_need_4,prep_barriers_scale,,radio,Preferring to change my sexual behavior than to use PrEP,"5, Completely got in the way of using PrEP | 4, Very much got in the way of using PrEP | 3, Somewhat got in the way of using PrEP | 2, Got in the way of using PrEP a little bit | 1, Didn't get in the way of using PrEP | -999, Decline to answer",,,,,,,y,,,prepbar_matrix,,
prep_bar_need_5,prep_barriers_scale,,radio,Feeling like I didn't need PrEP,"5, Completely got in the way of using PrEP | 4, Very much got in the way of using PrEP | 3, Somewhat got in the way of using PrEP | 2, Got in the way of using PrEP a little bit | 1, Didn't get in the way of using PrEP | -999, Decline to answer",,,,,,,y,,,prepbar_matrix,,
test_bar_intro,hiv_testing_barriers_scale,,descriptive,"<div class=""rich-text-field-label""><h6>For each factor listed below, please answer if it ""Didn't get in the way of HIV testing at all,"" ""got in the way a little bit,"" ""somewhat got in the way,"" ""very much got in the way,"" or ""completely got in the way"" of getting HIV testing.</h6></div>",,,,,,,,,,,,,
test_bar_need_1,hiv_testing_barriers_scale,,radio,Feeling like it's better to leave things up to fate,"5, Completely got in the way of HIV testing | 4, Very much got in the way of HIV testing | 3, Somewhat got in the way of HIV testing | 2, Got in the way of HIV testing a little bit | 1, Didn't get in the way of HIV testing at all | -999, Decline to answer",,,,,,,y,,,test_bar_matrix,,
test_bar_need_2,hiv_testing_barriers_scale,,radio,Having too many other stressors to deal with,"5, Completely got in the way of HIV testing | 4, Very much got in the way of HIV testing | 3, Somewhat got in the way of HIV testing | 2, Got in the way of HIV testing a little bit | 1, Didn't get in the way of HIV testing at all | -999, Decline to answer",,,,,,,y,,,test_bar_matrix,,
test_bar_need_3,hiv_testing_barriers_scale,,radio,Feeling like I didn't need to be tested,"5, Completely got in the way of HIV testing | 4, Very much got in the way of HIV testing | 3, Somewhat got in the way of HIV testing | 2, Got in the way of HIV testing a little bit | 1, Didn't get in the way of HIV testing at all | -999, Decline to answer",,,,,,,y,,,test_bar_matrix,,
bh_bar_intro,bh_barriers_scale,,descriptive,"<div class=""rich-text-field-label""><h6>Behavioral health services involve talking to a mental health or substance use counselor to work on problems like feeling depressed or anxious, dealing with a major life change, changing substance use, or other problems. People sometimes call this ""counseling,"" ""therapy,"" ""treatment,"" or ""coaching"".</h6> <h6>For each factor listed below, please answer if it ""Didn't get in the way of using behavioral health services at all,"" ""got in the way a little bit,"" ""somewhat got in the way,"" ""very much got in the way,"" or ""completely got in the way"" of using behavioral health services.</h6></div>",,,,,,,,,,,,,
bh_bar_need_1,bh_barriers_scale,,radio,Feeling like I didn't need behavioral health services,"5, Completely got in the way of using behavioral health services | 4, Very much got in the way of using behavioral health services | 3, Somewhat got in the way of using behavioral health services | 2, Got in the way of using behavioral health services a little bit | 1, Didn't get in the way of using behavioral health services at all | -999, Decline to answer",,,,,,,y,,,bh_bar_matrix,,
bh_bar_need_2,bh_barriers_scale,,radio,Concerns that behavioral health services aren't really effective,"5, Completely got in the way of using behavioral health services | 4, Very much got in the way of using behavioral health services | 3, Somewhat got in the way of using behavioral health services | 2, Got in the way of using behavioral health services a little bit | 1, Didn't get in the way of using behavioral health services at all | -999, Decline to answer",,,,,,,y,,,bh_bar_matrix,,
bh_bar_need_3,bh_barriers_scale,,radio,Feeling like it's better to leave things up to fate,"5, Completely got in the way of using behavioral health services | 4, Very much got in the way of using behavioral health services | 3, Somewhat got in the way of using behavioral health services | 2, Got in the way of using behavioral health services a little bit | 1, Didn't get in the way of using behavioral health services at all | -999, Decline to answer",,,,,,,y,,,bh_bar_matrix,,
bh_bar_need_4,bh_barriers_scale,,radio,Feeling like it's better to wait for things to improve/change on their own than get this service,"5, Completely got in the way of using behavioral health services | 4, Very much got in the way of using behavioral health services | 3, Somewhat got in the way of using behavioral health services | 2, Got in the way of using behavioral health services a little bit | 1, Didn't get in the way of using behavioral health services at all | -999, Decline to answer",,,,,,,y,,,bh_bar_matrix,,
bh_bar_need_5,bh_barriers_scale,,radio,Preferring to deal with my problems in other ways,"5, Completely got in the way of using behavioral health services | 4, Very much got in the way of using behavioral health services | 3, Somewhat got in the way of using behavioral health services | 2, Got in the way of using behavioral health services a little bit | 1, Didn't get in the way of using behavioral health services at all | -999, Decline to answer",,,,,,,y,,,bh_bar_matrix,,
bh_bar_need_6,bh_barriers_scale,,radio,Feeling that behavioral health services should only be used as a last resort or in a crisis situation,"5, Completely got in the way of using behavioral health services | 4, Very much got in the way of using behavioral health services | 3, Somewhat got in the way of using behavioral health services | 2, Got in the way of using behavioral health services a little bit | 1, Didn't get in the way of using behavioral health services at all | -999, Decline to answer",,,,,,,y,,,bh_bar_matrix,,
bh_bar_need_7,bh_barriers_scale,,radio,Having too many other stressors to deal with,"5, Completely got in the way of using behavioral health services | 4, Very much got in the way of using behavioral health services | 3, Somewhat got in the way of using behavioral health services | 2, Got in the way of using behavioral health services a little bit | 1, Didn't get in the way of using behavioral health services at all | -999, Decline to answer",,,,,,,y,,,bh_bar_matrix,,
bhtx,bh_cascade,,radio,"<div class=""rich-text-field-label""><p>Are you currently receiving or in the past 3 months did you receive any treatment, such as therapy or counseling or seeing a doctor for medication for a mental health or substance use condition?</p></div>","4, Yes | 3, No but I plan to start | 2, No but I have thought about starting | 1, No and I have no intention to start | -999, Decline to answer",,,,,,,y,,,,,
bhsessions,bh_cascade,,text,"<div class=""rich-text-field-label""><p>Over the last 3 months, about how many treatment sessions have you attended?</p> <p>Please type ""-999"" if you do not want to answer.</p></div>",,,integer,0,,,[bhtx] = 4,y,,,,,
bhfreq,bh_cascade,,radio,"<div class=""rich-text-field-label""><p>How often did you attend these treatment sessions?</p></div>","5, More than once a week | 4, Once a week | 3, Once every two weeks | 2, Once a month | 1, Less than once a month | -999, Decline to answer",,,,,,[bhtx] = 4,y,,,,,
bhtype,bh_cascade,,checkbox,"<div class=""rich-text-field-label""><p>Excluding self-help groups or twelve-step programs like Alcoholics Anonymous or Narcotics Anonymous, what type of treatment are you receiving or have you received over the last 3 months? Check all that apply</p></div>","1, Individual therapy or counseling | 2, Group therapy or counseling | 3, Couples therapy or counseling | 4, Family therapy or counseling | 5, Intensive outpatient therapy (going to treatment more than once a week) | 6, Medication management (working with a doctor to get medicines to manage your mental health or substance use condition) | 7, Residential treatment | 8, Day treatment | 9, Inpatient hospital treatment | 10, Prayer | 11, Curanderismo | 12, Other {bhtype_oth} | -999, Decline to answer",,,,,,[bhtx] = 4,y,,,,, @NONEOFTHEABOVE = '-999'
bhtype_oth,bh_cascade,,text,"Other BH treatment type, specified",,,,,,,[bhtype(12)],y,,,,, @PLACEHOLDER = 'please specify'
bhprob,bh_cascade,,checkbox,"<div class=""rich-text-field-label""><p>What type of problem(s) were the focus of treatment? Check all that apply</p></div>","1, <strong>Panic Disorder</strong> - having attacks when you suddenly feel intense fear or anxiety | 2, <strong>Generalized anxiety disorder</strong> - worrying a lot about daily/routine things | 3, <strong>Social phobia/anxiety</strong> - being really nervous around people | 4, <strong>Obsessive-compulsive disorder</strong> - having uncontrollable thoughts and behaviors that you feel like you need to repeat over and over | 5, <strong>Eating disorder or problems</strong> | 6, <strong>Post-traumatic stress disorder (PTSD)</strong> - getting flashbacks or nightmares or intense and uncontrollable anxiety about someothing traumatic that happened to you | 7, <strong>Depression</strong> - feeling very sad or low for an extended period of time | 8, <strong>Relationship problems</strong> | 9, <strong>Problems with family</strong> | 10, <strong>Problems at work/school</strong> | 11, <strong>Alcohol or substance use</strong> | 12, <strong>Don't know</strong> | 13, <strong>Something else</strong> {bhprob_oth} | -999, <strong>Decline to answer</strong>",,,,,,[bhtx] = 4,y,,,,, @NONEOFTHEABOVE = '-999'
